Tinggi (cm),Berat (kg),Tingkat Aktivitas,Tujuan,Kategori,Durasi (menit),Kalori Terbakar,Umur,Jenis Kelamin,Rekomendasi Olahraga
197,91,Tinggi,Pemeliharaan Kebugaran,Kekuatan,64,472,28,Wanita,Angkat Beban
155,53,Rendah,Penurunan Berat Badan,Fleksibilitas,89,638,58,Pria,Senam
143,75,Tinggi,Peningkatan Massa Otot,Kekuatan,57,529,39,Pria,Angkat Beban
176,69,Sedang,Peningkatan Massa Otot,Kekuatan,58,264,50,Pria,Angkat Beban
158,109,Rendah,Penurunan Berat Badan,Kardio,65,318,47,Wanita,Lari
171,119,Rendah,Peningkatan Massa Otot,Fleksibilitas,49,270,52,Pria,Senam
193,58,Rendah,Pemeliharaan Kebugaran,Kekuatan,49,284,35,Pria,Angkat Beban
165,59,Sedang,Penurunan Berat Badan,Kekuatan,62,263,56,Pria,Angkat Beban
200,64,Tinggi,Peningkatan Massa Otot,Fleksibilitas,88,221,27,Pria,Senam
177,60,Rendah,Pemeliharaan Kebugaran,Kekuatan,59,192,21,Pria,Angkat Beban
159,96,Tinggi,Peningkatan Massa Otot,Kekuatan,57,277,30,Wanita,Angkat Beban
166,82,Sedang,Penurunan Berat Badan,Kekuatan,60,675,33,Pria,Angkat Beban
183,105,Tinggi,Penurunan Berat Badan,Fleksibilitas,78,247,25,Wanita,Senam
194,63,Sedang,Peningkatan Massa Otot,Fleksibilitas,88,383,54,Pria,Senam
155,61,Rendah,Peningkatan Massa Otot,Kekuatan,46,645,56,Wanita,Angkat Beban
185,40,Rendah,Penurunan Berat Badan,Kardio,55,466,33,Pria,Lari
148,65,Rendah,Penurunan Berat Badan,Kekuatan,83,343,21,Wanita,Angkat Beban
178,108,Sedang,Peningkatan Massa Otot,Kardio,36,167,60,Pria,Bersepeda
187,58,Sedang,Peningkatan Massa Otot,Kekuatan,37,487,22,Wanita,Angkat Beban
175,87,Sedang,Peningkatan Massa Otot,Kardio,43,621,36,Wanita,Bersepeda
150,60,Tinggi,Pemeliharaan Kebugaran,Kekuatan,72,337,44,Wanita,Angkat Beban
144,55,Tinggi,Pemeliharaan Kebugaran,Kekuatan,86,184,27,Pria,Angkat Beban
151,42,Sedang,Penurunan Berat Badan,Fleksibilitas,61,263,64,Wanita,Senam
184,73,Sedang,Penurunan Berat Badan,Kekuatan,84,573,26,Pria,Angkat Beban
148,86,Sedang,Penurunan Berat Badan,Kekuatan,33,216,56,Wanita,Angkat Beban
179,60,Tinggi,Penurunan Berat Badan,Kardio,72,567,60,Wanita,Lari
180,49,Sedang,Penurunan Berat Badan,Kardio,71,322,36,Wanita,Lari
191,96,Tinggi,Pemeliharaan Kebugaran,Kardio,76,619,46,Pria,Bersepeda
146,84,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,86,249,34,Wanita,Senam
158,100,Sedang,Peningkatan Massa Otot,Kardio,51,528,58,Pria,Bersepeda
176,78,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,81,467,36,Wanita,Senam
146,73,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,75,683,32,Wanita,Senam
195,102,Sedang,Penurunan Berat Badan,Kekuatan,66,209,34,Wanita,Angkat Beban
172,109,Rendah,Penurunan Berat Badan,Fleksibilitas,64,454,36,Pria,Senam
187,120,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,76,288,43,Wanita,Senam
183,66,Sedang,Pemeliharaan Kebugaran,Kekuatan,78,434,29,Wanita,Angkat Beban
162,66,Sedang,Penurunan Berat Badan,Fleksibilitas,90,302,38,Pria,Senam
180,107,Sedang,Penurunan Berat Badan,Kekuatan,66,684,55,Wanita,Angkat Beban
195,76,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,43,414,24,Pria,Senam
193,90,Rendah,Peningkatan Massa Otot,Kardio,33,419,57,Pria,Bersepeda
197,91,Tinggi,Penurunan Berat Badan,Kardio,50,256,65,Pria,Lari
188,48,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,58,234,57,Pria,Senam
196,46,Rendah,Pemeliharaan Kebugaran,Kekuatan,70,382,59,Pria,Angkat Beban
186,85,Rendah,Penurunan Berat Badan,Fleksibilitas,89,185,50,Wanita,Senam
143,69,Rendah,Penurunan Berat Badan,Kardio,90,459,35,Wanita,Lari
190,61,Rendah,Penurunan Berat Badan,Kardio,46,150,31,Pria,Lari
185,117,Sedang,Penurunan Berat Badan,Kardio,65,276,20,Pria,Lari
161,64,Rendah,Peningkatan Massa Otot,Kardio,43,340,33,Pria,Bersepeda
183,80,Tinggi,Penurunan Berat Badan,Kekuatan,47,672,49,Wanita,Angkat Beban
179,95,Sedang,Peningkatan Massa Otot,Fleksibilitas,71,557,26,Wanita,Senam
146,40,Tinggi,Penurunan Berat Badan,Fleksibilitas,76,397,57,Wanita,Senam
158,93,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,31,675,19,Wanita,Senam
170,80,Tinggi,Peningkatan Massa Otot,Fleksibilitas,78,609,51,Pria,Senam
143,70,Tinggi,Peningkatan Massa Otot,Fleksibilitas,43,449,47,Wanita,Senam
200,87,Tinggi,Peningkatan Massa Otot,Kardio,32,451,53,Pria,Bersepeda
193,65,Sedang,Penurunan Berat Badan,Fleksibilitas,88,297,51,Pria,Senam
181,93,Sedang,Penurunan Berat Badan,Kekuatan,49,234,64,Pria,Angkat Beban
185,61,Rendah,Penurunan Berat Badan,Kekuatan,43,547,37,Pria,Angkat Beban
141,114,Sedang,Pemeliharaan Kebugaran,Kardio,68,545,48,Wanita,Bersepeda
164,100,Rendah,Pemeliharaan Kebugaran,Kekuatan,52,358,56,Wanita,Angkat Beban
196,55,Rendah,Peningkatan Massa Otot,Kekuatan,56,639,37,Wanita,Angkat Beban
194,53,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,62,365,20,Pria,Senam
163,76,Rendah,Peningkatan Massa Otot,Kardio,63,337,25,Wanita,Bersepeda
181,43,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,79,693,62,Wanita,Senam
158,49,Sedang,Peningkatan Massa Otot,Kardio,69,569,36,Wanita,Bersepeda
185,114,Rendah,Peningkatan Massa Otot,Kardio,62,354,34,Wanita,Bersepeda
199,114,Rendah,Peningkatan Massa Otot,Fleksibilitas,32,158,32,Wanita,Senam
144,59,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,59,502,35,Wanita,Senam
200,82,Rendah,Pemeliharaan Kebugaran,Kekuatan,55,344,39,Pria,Angkat Beban
195,63,Rendah,Peningkatan Massa Otot,Kekuatan,67,215,48,Pria,Angkat Beban
153,57,Tinggi,Pemeliharaan Kebugaran,Kardio,68,420,20,Pria,Bersepeda
149,64,Rendah,Pemeliharaan Kebugaran,Kardio,58,534,51,Wanita,Bersepeda
170,40,Sedang,Peningkatan Massa Otot,Kardio,32,299,44,Wanita,Bersepeda
178,59,Tinggi,Pemeliharaan Kebugaran,Kardio,78,524,46,Wanita,Bersepeda
147,52,Sedang,Penurunan Berat Badan,Kardio,64,518,45,Wanita,Lari
200,109,Sedang,Penurunan Berat Badan,Kardio,75,443,41,Wanita,Lari
187,51,Rendah,Peningkatan Massa Otot,Kardio,58,599,30,Wanita,Bersepeda
190,59,Rendah,Peningkatan Massa Otot,Kardio,79,614,45,Pria,Bersepeda
145,87,Sedang,Pemeliharaan Kebugaran,Kekuatan,82,521,39,Wanita,Angkat Beban
191,58,Rendah,Peningkatan Massa Otot,Kekuatan,89,690,22,Wanita,Angkat Beban
174,51,Rendah,Pemeliharaan Kebugaran,Kardio,63,568,24,Pria,Bersepeda
179,65,Rendah,Penurunan Berat Badan,Fleksibilitas,87,516,25,Wanita,Senam
150,94,Sedang,Penurunan Berat Badan,Fleksibilitas,64,373,40,Pria,Senam
191,74,Tinggi,Peningkatan Massa Otot,Fleksibilitas,88,391,21,Pria,Senam
164,118,Sedang,Pemeliharaan Kebugaran,Kekuatan,38,557,33,Wanita,Angkat Beban
182,107,Sedang,Pemeliharaan Kebugaran,Kardio,45,252,28,Wanita,Bersepeda
149,65,Tinggi,Peningkatan Massa Otot,Kardio,71,330,35,Pria,Bersepeda
181,114,Tinggi,Peningkatan Massa Otot,Kardio,86,614,27,Wanita,Bersepeda
177,106,Sedang,Pemeliharaan Kebugaran,Kardio,63,672,59,Pria,Bersepeda
176,76,Rendah,Penurunan Berat Badan,Kekuatan,55,294,38,Pria,Angkat Beban
148,67,Rendah,Peningkatan Massa Otot,Fleksibilitas,85,543,55,Pria,Senam
162,69,Sedang,Penurunan Berat Badan,Kardio,57,237,42,Pria,Lari
145,41,Sedang,Peningkatan Massa Otot,Kardio,57,303,25,Wanita,Bersepeda
167,59,Rendah,Pemeliharaan Kebugaran,Kekuatan,56,405,36,Wanita,Angkat Beban
198,63,Rendah,Peningkatan Massa Otot,Fleksibilitas,53,252,59,Pria,Senam
170,53,Tinggi,Penurunan Berat Badan,Fleksibilitas,71,307,25,Pria,Senam
150,99,Tinggi,Penurunan Berat Badan,Kardio,72,293,63,Wanita,Lari
198,70,Sedang,Penurunan Berat Badan,Kekuatan,84,665,48,Wanita,Angkat Beban
174,73,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,64,514,53,Wanita,Senam
167,110,Sedang,Peningkatan Massa Otot,Kardio,90,377,56,Pria,Bersepeda
182,95,Sedang,Penurunan Berat Badan,Kardio,72,554,34,Pria,Lari
144,84,Tinggi,Pemeliharaan Kebugaran,Kardio,89,530,24,Wanita,Bersepeda
162,79,Sedang,Peningkatan Massa Otot,Kekuatan,79,161,45,Wanita,Angkat Beban
182,54,Sedang,Penurunan Berat Badan,Fleksibilitas,61,668,48,Wanita,Senam
141,101,Sedang,Penurunan Berat Badan,Fleksibilitas,72,275,47,Wanita,Senam
145,110,Rendah,Penurunan Berat Badan,Fleksibilitas,55,372,53,Wanita,Senam
189,98,Tinggi,Peningkatan Massa Otot,Kardio,35,383,61,Pria,Bersepeda
155,73,Tinggi,Penurunan Berat Badan,Kardio,64,257,59,Pria,Lari
196,101,Sedang,Penurunan Berat Badan,Fleksibilitas,84,216,24,Wanita,Senam
158,94,Sedang,Pemeliharaan Kebugaran,Kekuatan,69,281,52,Wanita,Angkat Beban
196,87,Rendah,Penurunan Berat Badan,Fleksibilitas,72,263,46,Wanita,Senam
162,77,Tinggi,Peningkatan Massa Otot,Kekuatan,58,234,24,Wanita,Angkat Beban
181,41,Tinggi,Pemeliharaan Kebugaran,Kardio,38,413,21,Wanita,Bersepeda
154,78,Sedang,Pemeliharaan Kebugaran,Kardio,32,281,26,Pria,Bersepeda
153,109,Tinggi,Pemeliharaan Kebugaran,Kekuatan,69,284,58,Pria,Angkat Beban
167,43,Tinggi,Pemeliharaan Kebugaran,Kardio,36,261,21,Wanita,Bersepeda
182,75,Rendah,Pemeliharaan Kebugaran,Kardio,40,178,20,Wanita,Bersepeda
154,44,Rendah,Penurunan Berat Badan,Kekuatan,55,652,64,Pria,Angkat Beban
198,85,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,63,296,43,Wanita,Senam
159,108,Rendah,Penurunan Berat Badan,Fleksibilitas,56,200,37,Pria,Senam
177,52,Rendah,Peningkatan Massa Otot,Kardio,63,404,37,Wanita,Bersepeda
178,59,Sedang,Peningkatan Massa Otot,Kekuatan,41,401,18,Wanita,Angkat Beban
164,114,Tinggi,Penurunan Berat Badan,Kardio,54,473,28,Pria,Lari
176,77,Tinggi,Pemeliharaan Kebugaran,Kardio,71,633,44,Pria,Bersepeda
162,47,Rendah,Pemeliharaan Kebugaran,Kardio,46,151,55,Wanita,Bersepeda
187,41,Sedang,Pemeliharaan Kebugaran,Kardio,44,541,32,Wanita,Bersepeda
165,47,Rendah,Pemeliharaan Kebugaran,Kardio,88,195,51,Wanita,Bersepeda
165,50,Rendah,Peningkatan Massa Otot,Fleksibilitas,86,241,20,Pria,Senam
188,78,Rendah,Peningkatan Massa Otot,Kekuatan,30,577,43,Wanita,Angkat Beban
162,77,Sedang,Penurunan Berat Badan,Fleksibilitas,53,541,43,Wanita,Senam
158,105,Sedang,Peningkatan Massa Otot,Fleksibilitas,83,541,34,Wanita,Senam
187,85,Sedang,Penurunan Berat Badan,Kardio,59,184,44,Wanita,Lari
176,58,Tinggi,Peningkatan Massa Otot,Kekuatan,35,640,32,Wanita,Angkat Beban
188,102,Tinggi,Penurunan Berat Badan,Fleksibilitas,73,528,62,Wanita,Senam
144,66,Rendah,Penurunan Berat Badan,Kardio,42,604,35,Wanita,Lari
160,95,Sedang,Pemeliharaan Kebugaran,Kekuatan,77,376,52,Wanita,Angkat Beban
198,105,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,76,593,55,Pria,Senam
183,79,Sedang,Penurunan Berat Badan,Fleksibilitas,76,676,43,Pria,Senam
141,72,Rendah,Peningkatan Massa Otot,Kekuatan,62,309,36,Wanita,Angkat Beban
176,68,Rendah,Peningkatan Massa Otot,Fleksibilitas,39,508,44,Pria,Senam
193,48,Sedang,Pemeliharaan Kebugaran,Kekuatan,47,344,40,Pria,Angkat Beban
181,62,Tinggi,Pemeliharaan Kebugaran,Kekuatan,36,335,32,Pria,Angkat Beban
171,86,Sedang,Penurunan Berat Badan,Fleksibilitas,52,214,27,Wanita,Senam
169,51,Rendah,Penurunan Berat Badan,Fleksibilitas,62,542,23,Wanita,Senam
149,78,Rendah,Peningkatan Massa Otot,Fleksibilitas,77,566,28,Pria,Senam
142,102,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,38,191,51,Pria,Senam
197,95,Rendah,Penurunan Berat Badan,Kekuatan,33,681,18,Pria,Angkat Beban
148,115,Tinggi,Penurunan Berat Badan,Fleksibilitas,71,398,32,Pria,Senam
175,105,Tinggi,Peningkatan Massa Otot,Fleksibilitas,36,279,50,Pria,Senam
155,107,Rendah,Peningkatan Massa Otot,Kardio,52,246,27,Pria,Bersepeda
199,118,Sedang,Penurunan Berat Badan,Kardio,73,622,51,Pria,Lari
175,98,Rendah,Penurunan Berat Badan,Kardio,50,367,60,Wanita,Lari
151,116,Tinggi,Peningkatan Massa Otot,Fleksibilitas,51,291,25,Pria,Senam
148,53,Rendah,Penurunan Berat Badan,Kardio,42,343,18,Pria,Lari
159,59,Tinggi,Peningkatan Massa Otot,Fleksibilitas,70,685,44,Pria,Senam
152,77,Rendah,Penurunan Berat Badan,Fleksibilitas,81,527,55,Wanita,Senam
185,40,Tinggi,Peningkatan Massa Otot,Fleksibilitas,67,551,42,Pria,Senam
169,115,Sedang,Penurunan Berat Badan,Fleksibilitas,60,201,25,Pria,Senam
182,104,Tinggi,Peningkatan Massa Otot,Kardio,36,591,28,Wanita,Bersepeda
150,62,Tinggi,Peningkatan Massa Otot,Fleksibilitas,68,414,33,Pria,Senam
186,85,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,53,330,41,Wanita,Senam
184,45,Rendah,Penurunan Berat Badan,Fleksibilitas,32,153,49,Wanita,Senam
192,104,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,86,285,21,Pria,Senam
186,54,Rendah,Penurunan Berat Badan,Kardio,78,401,54,Pria,Lari
170,57,Tinggi,Pemeliharaan Kebugaran,Kekuatan,54,153,62,Pria,Angkat Beban
144,57,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,46,356,57,Wanita,Senam
193,49,Rendah,Peningkatan Massa Otot,Kardio,86,500,26,Pria,Bersepeda
177,94,Sedang,Pemeliharaan Kebugaran,Kardio,85,553,23,Wanita,Bersepeda
156,113,Tinggi,Peningkatan Massa Otot,Kardio,44,195,55,Pria,Bersepeda
184,109,Rendah,Pemeliharaan Kebugaran,Kekuatan,62,403,50,Wanita,Angkat Beban
190,86,Rendah,Pemeliharaan Kebugaran,Kardio,78,410,59,Wanita,Bersepeda
189,74,Tinggi,Peningkatan Massa Otot,Fleksibilitas,35,505,23,Wanita,Senam
144,63,Sedang,Peningkatan Massa Otot,Fleksibilitas,37,403,27,Wanita,Senam
179,106,Tinggi,Pemeliharaan Kebugaran,Kekuatan,85,617,42,Pria,Angkat Beban
146,73,Sedang,Penurunan Berat Badan,Kekuatan,39,313,61,Pria,Angkat Beban
163,89,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,31,413,46,Wanita,Senam
143,51,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,43,298,21,Pria,Senam
164,67,Sedang,Peningkatan Massa Otot,Kardio,38,644,41,Wanita,Bersepeda
187,97,Sedang,Pemeliharaan Kebugaran,Kekuatan,54,297,53,Pria,Angkat Beban
163,54,Rendah,Peningkatan Massa Otot,Kardio,53,449,36,Wanita,Bersepeda
141,109,Tinggi,Penurunan Berat Badan,Kardio,52,452,38,Wanita,Lari
191,96,Rendah,Penurunan Berat Badan,Fleksibilitas,48,279,48,Wanita,Senam
197,95,Rendah,Peningkatan Massa Otot,Kardio,63,202,62,Pria,Bersepeda
179,85,Tinggi,Pemeliharaan Kebugaran,Kardio,44,178,55,Wanita,Bersepeda
193,101,Sedang,Peningkatan Massa Otot,Kekuatan,87,242,47,Wanita,Angkat Beban
190,95,Rendah,Penurunan Berat Badan,Kekuatan,34,452,29,Wanita,Angkat Beban
185,74,Rendah,Pemeliharaan Kebugaran,Kardio,32,403,20,Wanita,Bersepeda
196,74,Rendah,Penurunan Berat Badan,Fleksibilitas,78,185,21,Pria,Senam
198,104,Tinggi,Penurunan Berat Badan,Kardio,74,519,29,Pria,Lari
153,90,Rendah,Pemeliharaan Kebugaran,Kardio,76,378,58,Wanita,Bersepeda
181,58,Sedang,Penurunan Berat Badan,Kardio,31,569,57,Wanita,Lari
143,113,Rendah,Penurunan Berat Badan,Fleksibilitas,77,509,59,Wanita,Senam
197,95,Rendah,Penurunan Berat Badan,Kekuatan,87,299,47,Wanita,Angkat Beban
191,103,Sedang,Penurunan Berat Badan,Kekuatan,58,269,44,Pria,Angkat Beban
146,44,Rendah,Peningkatan Massa Otot,Fleksibilitas,85,600,35,Pria,Senam
183,88,Tinggi,Penurunan Berat Badan,Fleksibilitas,60,287,27,Wanita,Senam
152,88,Sedang,Penurunan Berat Badan,Kardio,89,431,58,Wanita,Lari
190,94,Sedang,Penurunan Berat Badan,Kardio,67,365,34,Wanita,Lari
192,87,Tinggi,Pemeliharaan Kebugaran,Kekuatan,44,371,35,Wanita,Angkat Beban
171,88,Sedang,Peningkatan Massa Otot,Kekuatan,68,511,62,Wanita,Angkat Beban
197,90,Sedang,Penurunan Berat Badan,Fleksibilitas,75,425,30,Pria,Senam
190,60,Rendah,Peningkatan Massa Otot,Kekuatan,50,208,20,Wanita,Angkat Beban
176,107,Sedang,Penurunan Berat Badan,Kekuatan,50,496,36,Pria,Angkat Beban
144,53,Tinggi,Penurunan Berat Badan,Kekuatan,87,540,24,Wanita,Angkat Beban
179,105,Tinggi,Penurunan Berat Badan,Fleksibilitas,88,429,35,Wanita,Senam
152,77,Rendah,Pemeliharaan Kebugaran,Kekuatan,44,257,34,Wanita,Angkat Beban
164,72,Sedang,Pemeliharaan Kebugaran,Kardio,50,671,43,Wanita,Bersepeda
191,113,Tinggi,Penurunan Berat Badan,Kekuatan,86,651,45,Pria,Angkat Beban
159,85,Rendah,Penurunan Berat Badan,Kekuatan,85,476,18,Pria,Angkat Beban
200,41,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,72,499,48,Wanita,Senam
160,56,Sedang,Peningkatan Massa Otot,Kekuatan,49,671,50,Pria,Angkat Beban
147,116,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,43,664,20,Pria,Senam
159,93,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,90,576,29,Wanita,Senam
187,59,Rendah,Peningkatan Massa Otot,Kekuatan,77,550,60,Pria,Angkat Beban
141,118,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,65,625,47,Pria,Senam
184,119,Sedang,Peningkatan Massa Otot,Fleksibilitas,53,442,46,Pria,Senam
154,85,Tinggi,Penurunan Berat Badan,Fleksibilitas,85,179,47,Wanita,Senam
158,88,Rendah,Penurunan Berat Badan,Kekuatan,89,456,54,Pria,Angkat Beban
169,45,Sedang,Penurunan Berat Badan,Kardio,39,690,55,Pria,Lari
169,93,Rendah,Peningkatan Massa Otot,Fleksibilitas,75,199,19,Pria,Senam
177,91,Sedang,Pemeliharaan Kebugaran,Kekuatan,77,365,22,Pria,Angkat Beban
200,99,Sedang,Peningkatan Massa Otot,Fleksibilitas,54,342,64,Pria,Senam
198,42,Tinggi,Peningkatan Massa Otot,Kekuatan,90,349,39,Wanita,Angkat Beban
181,106,Sedang,Penurunan Berat Badan,Kekuatan,82,260,22,Pria,Angkat Beban
182,90,Sedang,Peningkatan Massa Otot,Kardio,35,366,44,Pria,Bersepeda
180,45,Rendah,Penurunan Berat Badan,Fleksibilitas,52,385,32,Wanita,Senam
187,118,Sedang,Pemeliharaan Kebugaran,Kekuatan,68,349,41,Wanita,Angkat Beban
179,101,Tinggi,Penurunan Berat Badan,Fleksibilitas,88,655,18,Wanita,Senam
188,102,Sedang,Penurunan Berat Badan,Kardio,75,630,46,Pria,Lari
166,50,Tinggi,Penurunan Berat Badan,Kekuatan,44,366,40,Pria,Angkat Beban
143,117,Rendah,Penurunan Berat Badan,Kardio,31,637,38,Pria,Lari
142,53,Rendah,Pemeliharaan Kebugaran,Kardio,82,482,64,Wanita,Bersepeda
160,98,Tinggi,Peningkatan Massa Otot,Fleksibilitas,70,252,38,Wanita,Senam
180,85,Sedang,Pemeliharaan Kebugaran,Kekuatan,69,585,22,Pria,Angkat Beban
148,101,Tinggi,Peningkatan Massa Otot,Kardio,57,184,32,Wanita,Bersepeda
183,93,Tinggi,Pemeliharaan Kebugaran,Kardio,64,361,38,Pria,Bersepeda
150,115,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,80,625,30,Wanita,Senam
185,116,Tinggi,Penurunan Berat Badan,Kardio,66,624,18,Wanita,Lari
147,119,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,73,694,42,Pria,Senam
192,117,Sedang,Penurunan Berat Badan,Kekuatan,84,201,18,Pria,Angkat Beban
163,72,Tinggi,Penurunan Berat Badan,Kardio,56,670,43,Pria,Lari
171,95,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,54,162,42,Pria,Senam
170,106,Rendah,Peningkatan Massa Otot,Fleksibilitas,46,398,26,Pria,Senam
174,93,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,71,636,63,Wanita,Senam
153,83,Tinggi,Peningkatan Massa Otot,Kekuatan,73,394,40,Wanita,Angkat Beban
171,71,Sedang,Penurunan Berat Badan,Kardio,53,357,60,Pria,Lari
191,40,Sedang,Penurunan Berat Badan,Kardio,51,396,50,Pria,Lari
184,73,Sedang,Penurunan Berat Badan,Kardio,72,415,28,Wanita,Lari
170,104,Rendah,Penurunan Berat Badan,Fleksibilitas,46,461,32,Pria,Senam
144,52,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,82,322,22,Wanita,Senam
163,96,Tinggi,Penurunan Berat Badan,Kekuatan,78,401,20,Wanita,Angkat Beban
175,114,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,32,340,21,Wanita,Senam
162,101,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,42,462,26,Wanita,Senam
190,65,Tinggi,Peningkatan Massa Otot,Kekuatan,41,668,46,Pria,Angkat Beban
145,45,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,84,554,34,Pria,Senam
150,75,Tinggi,Peningkatan Massa Otot,Kekuatan,59,694,18,Pria,Angkat Beban
170,68,Sedang,Peningkatan Massa Otot,Kardio,39,614,58,Wanita,Bersepeda
146,82,Tinggi,Penurunan Berat Badan,Kekuatan,32,400,49,Pria,Angkat Beban
175,50,Tinggi,Peningkatan Massa Otot,Fleksibilitas,53,204,64,Wanita,Senam
151,43,Sedang,Peningkatan Massa Otot,Fleksibilitas,55,247,60,Wanita,Senam
174,55,Tinggi,Peningkatan Massa Otot,Kekuatan,78,458,29,Pria,Angkat Beban
188,58,Rendah,Peningkatan Massa Otot,Fleksibilitas,85,601,56,Pria,Senam
182,66,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,83,342,27,Wanita,Senam
154,103,Rendah,Peningkatan Massa Otot,Kekuatan,57,464,62,Wanita,Angkat Beban
164,84,Sedang,Penurunan Berat Badan,Fleksibilitas,57,475,48,Wanita,Senam
148,42,Tinggi,Pemeliharaan Kebugaran,Kardio,65,623,33,Pria,Bersepeda
149,58,Tinggi,Penurunan Berat Badan,Kekuatan,47,548,26,Pria,Angkat Beban
153,109,Sedang,Penurunan Berat Badan,Fleksibilitas,80,470,28,Wanita,Senam
149,69,Sedang,Peningkatan Massa Otot,Fleksibilitas,74,391,56,Pria,Senam
144,84,Tinggi,Pemeliharaan Kebugaran,Kardio,40,292,24,Wanita,Bersepeda
182,119,Tinggi,Pemeliharaan Kebugaran,Kekuatan,70,579,22,Pria,Angkat Beban
143,106,Sedang,Peningkatan Massa Otot,Fleksibilitas,66,531,44,Wanita,Senam
153,114,Rendah,Pemeliharaan Kebugaran,Kardio,59,418,62,Pria,Bersepeda
177,74,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,61,202,60,Wanita,Senam
196,92,Tinggi,Peningkatan Massa Otot,Kekuatan,61,488,50,Pria,Angkat Beban
175,71,Rendah,Peningkatan Massa Otot,Kardio,59,594,26,Wanita,Bersepeda
187,63,Rendah,Peningkatan Massa Otot,Kekuatan,57,547,32,Pria,Angkat Beban
156,73,Tinggi,Peningkatan Massa Otot,Fleksibilitas,58,544,48,Pria,Senam
143,64,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,68,445,64,Pria,Senam
185,93,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,59,459,28,Wanita,Senam
148,88,Rendah,Penurunan Berat Badan,Kardio,81,402,63,Wanita,Lari
189,111,Sedang,Peningkatan Massa Otot,Kardio,33,270,19,Pria,Bersepeda
177,47,Rendah,Peningkatan Massa Otot,Kardio,85,539,53,Pria,Bersepeda
164,120,Rendah,Peningkatan Massa Otot,Fleksibilitas,42,188,28,Wanita,Senam
192,87,Rendah,Penurunan Berat Badan,Kekuatan,85,507,61,Wanita,Angkat Beban
153,64,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,83,387,33,Wanita,Senam
173,42,Rendah,Penurunan Berat Badan,Kekuatan,65,666,55,Wanita,Angkat Beban
144,94,Tinggi,Peningkatan Massa Otot,Kardio,31,289,54,Pria,Bersepeda
192,92,Sedang,Peningkatan Massa Otot,Kekuatan,41,151,57,Pria,Angkat Beban
153,84,Rendah,Pemeliharaan Kebugaran,Kardio,55,545,48,Pria,Bersepeda
146,82,Sedang,Peningkatan Massa Otot,Kekuatan,37,605,62,Pria,Angkat Beban
200,115,Sedang,Peningkatan Massa Otot,Fleksibilitas,82,296,33,Pria,Senam
145,115,Sedang,Penurunan Berat Badan,Kardio,78,558,55,Wanita,Lari
197,83,Sedang,Penurunan Berat Badan,Kardio,70,632,30,Pria,Lari
171,118,Rendah,Peningkatan Massa Otot,Fleksibilitas,37,471,18,Pria,Senam
151,46,Sedang,Peningkatan Massa Otot,Kardio,53,488,47,Wanita,Bersepeda
144,75,Tinggi,Peningkatan Massa Otot,Kardio,56,554,62,Pria,Bersepeda
197,88,Tinggi,Pemeliharaan Kebugaran,Kardio,81,396,28,Wanita,Bersepeda
140,98,Sedang,Peningkatan Massa Otot,Fleksibilitas,71,543,56,Wanita,Senam
140,71,Sedang,Peningkatan Massa Otot,Kardio,33,554,23,Wanita,Bersepeda
157,79,Rendah,Penurunan Berat Badan,Kardio,62,192,54,Wanita,Lari
172,103,Tinggi,Pemeliharaan Kebugaran,Kardio,44,206,38,Wanita,Bersepeda
